질문(Q),고객용 답변,내부 메모,상태,카테고리,태그
"기능이 제대로 작동하지 않을 때 (화면 안 보임, 작성 안 됨)","일시적인 인터넷 연결 오류일 수 있습니다. 아래 두 가지 방법을 시도해 주세요. 
1. 키보드 상단의 [F5] 키를 눌러 새로고침 해주세요. 
2. 로그아웃 후 다시 로그인해 주세요. 여전히 해결되지 않는다면 '채널톡' 혹은 '카카오톡'으로 오류 화면을 캡처해서 보내주시면 빠르게 확인해 드리겠습니다.","[스크립트] ""어머니, 키보드 맨 위에 F5 키 한번 눌러보시겠어요?"" 

[프로세스] 해결 안 될 시: 캡처 사진 + 회원ID + 증상 정리하여 기술팀 전달",게시완료,[기타],#시스템문의
SNS 인증 버튼을 눌렀는데 다음 화면으로 안 넘어가요 (무한 로딩),"브라우저에 남아있는 이전 접속 기록(쿠키/캐시) 때문에 발생하는 현상입니다. 사용하시는 기기에 따라 아래 방법으로 기록을 삭제해 주세요. 
[PC (크롬/엣지)] 
1. 인터넷 창을 켠 상태에서 [Ctrl] + [Shift] + [Delete] 키를 동시에 누릅니다. 
2. 설정 창이 뜨면 [쿠키 및 기타 사이트 데이터]와 [캐시된 이미지]를 체크하고 [데이터 삭제]를 누릅니다. 
3. 브라우저를 완전히 껐다가 다시 켜주세요. 

[모바일] 설정 > 개인정보 보호 > 방문기록/쿠키 삭제를 진행해 주세요.","실제 인증은 안 됐는데 시스템이 이전 기록(쿠키)을 불러와서 생기는 오류 [조치] 쿠키 삭제 방법 안내 필수 (고객이 어려워할 경우 상세 매뉴얼 문자 전달)

SNS 인증 오류 및 단계별 조치 방법
[1단계] 브라우저 쿠키 및 캐시 삭제 가장 확실한 해결 방법입니다.
PC(컴퓨터)
인터넷 창을 켠 상태에서 [Ctrl] + [Shift] + [Delete] 키를 동시에 누릅니다.
창이 뜨면 [쿠키 및 기타 사이트 데이터]와 [캐시된 이미지]를 체크합니다.
[데이터 삭제]를 누른 후 브라우저를 완전히 껐다 다시 켭니다.

모바일 (안드로이드/크롬)
크롬 앱 우측 상단 [점 3개] > [설정] 클릭
[개인정보 보호 및 보안] > [인터넷 사용 기록 삭제] 클릭
[데이터 삭제] 진행 후 다시 접속합니다.

모바일 (아이폰/사파리)
아이폰 [설정] >[앱] > [Safari] 클릭
SNS 인증 오류 및 조치 방법

[2단계] 최후 방법 : PC 또는 핸드폰 전원을 재부팅 해주세요.

[3단계] 오류 제보
해결되지 않을 경우, PC에서 Windows + Shift + S로 화면 캡처 후 채팅으로 보내주세요.",게시완료,[로그인/회원],"#로그인, #인증"
논술화랑에서 접속했는데 로그인이 안 되고 가입하라고 떠요.,독서화랑은 별도의 서비스로 최초 1회 신규 가입이 필요합니다. '회원가입' 버튼을 누르시면 논술/역사화랑의 정보가 자동으로 연동되어 간편하게 가입하실 수 있습니다.,"[안내 포인트] 자동 로그인이 아님을 안내 
가입 시 기존 DB(자녀정보) 연동됨 설명",게시완료,[로그인/회원],"#로그인, #사용법문의"
회원가입 시 자녀 추가가 잘못 되었는데 수정이 안돼요,"번거로우시겠지만, 개발팀에 요청하여 기존 회원 정보 삭제 작업을 먼저 진행해야 합니다. 
고객센터로 아이디를 남겨주시면 삭제 완료 후 다시 가입하실 수 있도록 안내해 드리겠습니다.","[프로세스] 
1. 실장님: 시스템 -> 자녀 정보 임시 수정 
2. CS 담당자: 외부 개발팀에 회원 정보 삭제 요청 
3. 삭제 완료 후 학부모에게 재가입 요청 안내",게시완료,[로그인/회원],#시스템문의
비밀번호를 분실하였습니다.,"* ID 찾기: 가입 시 기입한 휴대폰 번호로 인증 
* 비밀번호 재설정: 로그인 화면에서 [비밀번호 재설정] 클릭 후 휴대폰 인증",[안내] 가입 시 기입한 휴대폰 번호로 인증받아 재설정 가능함 안내,게시완료,[로그인/회원],#사용법문의
SNS 인증 문자가 안 와요.,"입력하신 정보가 정확한지 확인해 주시고, 스팸 메시지함을 체크해 주세요. 그래도 안 된다면 통신사 사정일 수 있으니 1~2분 뒤 재시도 부탁드립니다. 지속될 경우 개발팀 확인이 필요하니 연락처를 남겨주세요.",[대응] 개발자에게 확인 후에 연락드리겠다고 답변 후 기술팀 전달,게시완료,[로그인/회원],#시스템문의
독서력 지수 진단 레벨테스트 결과지는 어디서 볼 수 있나요?,"[정독] /[다독]
마이페이지 > 독서화랑 활동 결과 
에서 확인이 가능합니다. 
",,게시완료,[독서력지수진단],#사용법문의
'반복독서' 버튼이 클릭 되지 않아요.,독후 대화를 1개 이상 작성해야 '반복독서' 버튼이 활성화됩니다. 내용을 읽고 생각을 정리한 뒤 클릭해 주세요.,,게시완료,[독서활동],#사용법문의
'감정 발견' 버튼이 클릭 되지 않아요.,독후 대화를 1개 이상 작성하여 '완독' 상태가 되어야 감정을 선택할 수 있습니다. *선택 가능한 감정 단어 수는 완독 도서 수에 따라 늘어납니다.,( ~3권 4개 / ~30권 6개 / ~60권 10개 / ~99권 14개 / 100권 이상 18개),게시완료,[독서활동],#사용법문의
찜한 서재가 안 보여요.,서재 주인이 '공개 설정'을 '비공개'로 변경한 경우 보이지 않습니다.,,게시완료,[독서활동],#사용법문의
독서 퀴즈에서 못 받아서 레벨업을 못 했어요. 언제 다시 볼 수 있나요?,하루에 3번까지 재응시가 가능합니다. 내일 다시 도전하도록 격려해 주세요.,,게시완료,[독서활동],#서비스문의
선물 목록은 어떻게 바꾸나요?,"[다독] 
자녀이름 클릭 > 보호자설정 > 현재 설정된 선물",,게시완료,[독서활동],#서비스문의
퀴즈 기회가 다 끝났는데 어떡하죠? (재응시),"[정독] 하루 3회까지 가능하므로, 내일 다시 도전하도록 격려해 주세요. 
[다독] 금화를 사용하여 즉시 재응시하거나, 내일 무료 기회를 다시 이용하면 됩니다.",,게시완료,[독서활동],#사용법문의
[녹음] 독후 대화 녹음 버튼을 눌렀는데 반응이 없거나 녹음이 안 돼요.,브라우저의 마이크 권한이 차단되어 있을 수 있습니다. 주소창 옆 [자물쇠 아이콘] 클릭 > [마이크] 허용으로 변경 후 새로고침(F5) 해주세요.,"[스크립트] ""어머니, 주소창 옆에 자물쇠 모양 보이세요?"" -> 마이크 허용 안내",게시완료,[독서활동],"#사용법문의, #시스템문의"
실수로 '회원 탈퇴'를 눌렀어요.,"고객센터로 학생명과 과정명을 알려주시면, 담당 부서 확인 후 복구 처리를 도와드리겠습니다.",[내부 처리] 마케팅팀 이관 필수 (마케팅팀에서 복구 처리),게시완료,[로그인/회원],#시스템문의
독서력 지수 진단 결과지는 어디서 확인하나요?,[마이페이지] > [독서화랑 활동 결과] 버튼을 클릭하시면 확인하실 수 있습니다.,,게시완료,[독서활동],#서비스문의
